,18+,12-17,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC
PA,0,0,3.66096719959564e-18,0.0,0.0,0.12939423008256765,4.103751366607995e-17,1.2929585672790821e-16,0.09818356892875123,0.050513245442626566,5.326075681692718e-18,0.0061652028797548435,0.04425275281026918,0.272978304966445,0.03555080563225536,0.11640892934811083,1.8106176280507924e-16,0.02703580101331228,0.03919774543365209,0.0,2.0614226873804996e-16,0.011716278390173042,0.03965117187094418,0.0,5.1472387379649694e-17,0.046296355982803,3.6327098220824976e-17
RI,0,0,0.0,0.05189862813210219,0.0,0.026668920950709864,0.06010594502743979,2.0677093308844614e-16,3.8783033806412473e-17,0.055914578156914495,0.0005189777508784468,0.0,0.10774977366749461,0.0,0.023752306144291652,1.6655853109893415e-16,0.0,0.09246031159749997,0.03914242223392869,0.0,1.6686279950835324e-16,5.760492882166917e-17,0.026481729031553748,8.991983068135073e-17,3.1916201452542037e-17,0.07423568775148127,2.1740372313617834e-17
SC,0,0,0.0,0.02178134992790358,0.004215543897391503,0.0034615297938504087,0.14792603902859178,0.09704920993009054,0.02735193482164606,0.0,1.945465273253677e-17,0.012059941361106018,0.0011841590010927424,3.1900211074198486e-17,0.01459596117891874,0.0,1.1029046599608794e-16,0.1954638357929999,0.03510935836425712,0.0,1.6359933156448458e-16,0.012232715574820068,0.027493518333264577,1.7728419083319023e-16,0.0,0.043616293899113735,0.028654589492602762
SD,0,0,4.1633019187487114e-16,0.06194028811633299,0.03218918308712672,1.888651639663351e-16,5.616366041634956e-17,0.0,7.819611841580755e-17,0.005980524179285811,0.11273242485795958,0.0,0.0,0.0,0.024351201002048645,1.12287250727835e-16,0.0,0.1623191771981722,0.03914920451086561,0.06411758437712381,0.12104740464716766,1.7517359517985855e-16,0.01102606211752405,0.0,1.6073297207097603e-17,0.09053456645458119,8.357019773468827e-19
TN,0,0,7.1543540581679e-16,0.020136500132156752,0.33245199382512614,4.934508285225916e-17,1.5952701788933e-17,0.6571337475661985,0.06321649223837714,0.0,0.06151592298202236,0.043476955576968276,0.0,0.0,0.0666129220002708,1.7608458514599134e-16,5.9300437824094665e-16,0.0,0.0338903207439063,0.07099885762513146,0.041227143402884754,1.7749663434676607e-16,0.002826983436954706,3.624168126518236e-17,2.508572776588336e-17,0.03143152431222231,0.10421656041021518
TX,0,0,0.0,0.0,3.403378382067779e-17,3.9661539048752484e-18,6.278409944143128e-17,0.0,0.0,0.010345517065862375,0.06607621729324605,2.8883399984898014e-16,0.0,3.796038927253087e-17,0.010673759328244098,0.0,0.0,3.543601520111633e-17,0.03929966094777486,4.428457654834933e-17,0.021120302527081074,6.121082703016343e-17,0.020200534732047633,0.0,0.002013435392441751,0.12093803398294907,1.65532059049228e-17
UT,0,0,0.0,0.0,0.07247854299760506,5.2801415538482485e-18,0.05295357939050934,0.0,1.9941617785088805e-17,6.397724553906456e-17,0.008961996790159982,0.0,0.0,0.0,0.009175124588779714,0.0,0.0,0.0,0.03987687215058996,0.0007675706153880666,0.0,0.0,0.048721254749803246,0.01884184061513275,0.10790418363089795,5.818401187359105e-17,6.278275897288141e-18
VT,0,0,0.7397031101220394,0.026466770718437546,5.612342404571324e-17,0.0800325441651605,3.0794491671176874e-16,0.0,0.05880097339090339,0.0,0.09615079826518594,8.792879618857441e-17,0.054282131889421235,3.3446727553640086e-17,0.06563817877333375,0.13086404392363174,1.6550752738805907e-15,0.0683892234628571,0.03811526751254648,0.03445430370228817,1.3428860345769678e-16,0.14773670166743777,0.009829868117546105,0.0,1.4243706041028315e-17,0.0893947652307424,0.07892842899897148
VA,0,0,0.0,0.0,0.0,0.12158184947847925,0.0,0.005482522657972828,0.06997881706114968,0.029457845639509993,0.0,0.06277516620905306,0.0,0.33054455845552255,0.08377719999805147,0.08562753381363312,4.251969869945027e-16,0.0,0.038935102295605345,0.0638492497871099,4.2021961578508583e-17,0.01317308047520464,0.028561259816099676,0.24064648993909846,0.11352703296255072,3.819384588635756e-16,0.18413894311347093
WA,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WV,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WI,0,0,0.0,0.11558644982716237,1.3213713977167085e-17,0.24885982522550976,0.05281719994956739,0.0,0.06588258944152674,0.0,1.52059354691092e-17,0.1313380418774884,0.01958196155277468,9.775139414844995e-17,0.04196686200845485,0.12462750506215174,2.5557355710914553e-16,0.0,0.039196954313093946,0.0,0.0,0.08122655207545726,0.0571566097186165,0.0,0.0,7.901279667262845e-18,4.399431240750778e-18
WY,0,0,1.4374278742012634e-16,4.557037256228136e-17,0.0,0.11072745425854359,5.72253641405546e-17,1.7317537954224602e-17,0.012640701608365165,0.043983150614531806,0.008462042053591044,0.006333941679797891,0.0980575253788868,0.1409077593903717,0.06530612445741268,0.0,5.433614712682666e-16,0.055469783292337045,0.03892722195455992,0.05273657069510336,0.0,0.0,0.023856011716995557,2.2496895282152854e-17,1.332687757892026e-16,0.021151109738763985,0.04122461429949552
