,MA,NV,AR,MN,NJ,OH,NM,KY,NY,KS,MI,CO,IL,WA,LA,DE,OR,AK,MO,MD,CA,CT,AL,WV,NC,ME,HI
2021-07-20,92.41989447595768,83.37556509447022,84.08791008341623,92.10650116280628,87.77848394108011,84.7394533728151,92.46407867440729,86.17591724891716,84.94519326714642,88.42935842879497,85.80385247023985,87.9342012601717,87.94996000024356,90.76321458951601,81.0378408817098,93.37314994346661,85.71993116185848,82.23504569867707,81.44531453545184,90.22028932065069,92.47176349946191,94.60971002996087,79.88267620464521,81.42350866353532,84.67907613410459,95.35024691008478,98.12074023383758
2021-07-21,92.44087338700801,83.40407840794781,84.12729817631873,92.12411029792746,87.81813736077063,84.79615544200861,92.4961718538071,86.20989455788754,84.96889646034957,88.46162823601995,85.8474539636737,87.9576416786526,87.983638262502,90.78615357475051,81.04658877219242,93.4107584583873,85.767892646038,82.2834586954955,81.5014767341533,90.24832016443975,92.47176349946191,94.63697860897564,79.94404466421734,81.52319051024203,84.71248137475345,95.37799796159229,98.13675645997972
2021-07-22,92.49634201612706,83.46838525845803,84.1487262451794,92.19303806492348,87.87336298331259,84.82982925323543,92.54283590317988,86.24670910503208,84.99440141376512,88.518371035025,85.9142646165058,88.02038113338938,88.04058965489617,90.83336057190402,81.07549889809164,93.45635331493833,85.82623917302065,82.32020120338689,81.54936223083948,90.26369223353244,92.54668842841853,94.64159447291001,80.00541312378947,81.54969529047467,84.73740050175684,95.39285510132002,98.15253981051654
2021-07-23,92.51432630485547,83.51378016876937,84.22775270458328,92.19311659363967,87.91001396529576,84.88763232013193,92.56518543428402,86.29232184071225,85.05418211322018,88.55433106689487,85.97142622330252,88.03999702278391,88.07431558381923,90.83699836782942,81.11315691447346,93.4712864369807,85.84524077530891,82.38559031705478,81.68063254696192,90.26369223353244,92.54668842841853,94.65356234072995,80.05011933656779,81.62319051024203,84.78804435142816,95.39601932021036,98.16846420214362
2021-07-24,92.55800744440914,83.60369259614035,84.28269629203959,92.25299612364289,87.96944608565076,84.95974896179676,92.60542801877578,86.34157675228911,85.13416725034604,88.62841900410578,86.05438837759883,88.11934519176123,88.13421740592557,90.87335015294387,81.20440902399085,93.52621408705154,85.89466569606036,82.45171944744261,81.7438959162665,90.29050958842727,92.59301087463112,94.6854467836791,80.1667815833616,81.71226919721043,84.86059681598405,95.4386275114456,98.18989572136036
2021-07-25,92.61122101688017,83.65441659890021,84.33935717869124,92.30131551607441,88.03040328356757,85.03250804703652,92.67574597919547,86.39603952195445,85.16488515607975,88.66150822798326,86.11885195121125,88.19191496410687,88.19474899892221,90.90973477841642,81.24206704037269,93.57833196560152,85.93530257843844,82.51710856111052,81.96789609698772,90.31088261301578,92.63089342587062,94.70074749487394,80.1789309280625,81.78576441697778,84.8977744299738,95.46321434406278,98.2046744794037
2021-07-26,92.62224003977425,83.6999089832027,84.35998747390703,92.33027943109319,88.0504151720355,85.04779394884771,92.69010310761539,86.40741428023105,85.17443066841955,88.69892048156085,86.15306950799832,88.21450686355651,88.21064165104697,90.9288034983691,81.24206704037269,93.59280409079203,85.94581126514876,82.53687495215243,82.01264496745307,90.3173269433221,92.6663335901996,94.71733122662825,80.27893092806251,81.81195104391715,84.90201286898187,95.48123570268083,98.20567907189721
2021-07-27,92.63253436617693,83.70753013982961,84.37474785911488,92.33953302576006,88.089223016849,85.05974896179677,92.70766353245207,86.43616436547322,85.17443066841955,88.71595259608027,86.17517709761135,88.21853454585727,88.24453953081787,90.93171559964627,81.24206704037269,93.63137518178662,85.97358736562305,82.55664134319434,82.01797618902346,90.3173269433221,92.66793580358772,94.71733122662825,80.27893092806251,81.81226919721043,84.92239826840422,95.48123570268083,98.21970724683267
2021-07-28,92.67052339408312,83.79226010823717,84.45858428519428,92.37965393516966,88.17580237574337,85.13469776860832,92.7546605829961,86.50324622159322,85.2531048318393,88.77740987239623,86.25119152903187,88.27426495660353,88.32848532049336,91.03582064318248,81.27972505675453,93.65289720837293,86.15959434742473,82.60226406582032,82.07460940316055,90.3990412443624,92.72255731334563,94.72929909444818,80.45088696207799,81.96464245108915,84.99104942712276,95.48439992157117,98.23448600487602
2021-07-29,92.71858499835432,83.84879083037221,84.50768489879283,92.42606992787724,88.22323719744247,85.1869375074216,92.77088262920498,86.53665046225571,85.30253971968894,88.83198117114026,86.34182763921005,88.32854570950329,88.37351723587847,91.06644700975549,81.30863518265373,93.6938866083477,86.19308574853355,82.63378230987605,82.1605797433491,90.42707208815145,92.74446294593248,94.74921566957741,80.4630363067789,82.00134788417883,85.02384363159705,95.52384389391608,98.2558256895777
